"Fecha","Cierre","Apertura","Máximo","Mínimo","% var."
"14.06.2012","13.8950","14.0160","14.0818","13.8703","-0.95"
"15.06.2012","13.9210","13.8950","13.9502","13.8657","0.19"
"18.06.2012","13.8251","13.8366","13.9689","13.8122","-0.69"
"19.06.2012","13.6879","13.8255","13.8437","13.6734","-0.99"
"20.06.2012","13.6960","13.6956","13.7794","13.6330","0.06"
"21.06.2012","13.9190","13.6986","13.9520","13.6650","1.63"
"22.06.2012","13.8569","13.9043","13.9424","13.8018","-0.45"
"25.06.2012","13.9144","13.8433","13.9800","13.8126","0.41"
"26.06.2012","13.7625","13.9110","13.9585","13.7303","-1.09"
"27.06.2012","13.5578","13.7634","13.7782","13.5472","-1.49"
"28.06.2012","13.6020","13.5658","13.7320","13.5517","0.33"
"29.06.2012","13.3573","13.6024","13.6316","13.3048","-1.80"
"02.07.2012","13.3361","13.2736","13.4558","13.2508","-0.16"
"03.07.2012","13.3357","13.3343","13.3942","13.2925","-0.00"
"04.07.2012","13.3340","13.3367","13.3890","13.3290","-0.01"
"05.07.2012","13.4073","13.3290","13.4258","13.2707","0.55"
"06.07.2012","13.3865","13.4115","13.5238","13.3715","-0.16"
"09.07.2012","13.3285","13.4170","13.5089","13.3285","-0.43"
"10.07.2012","13.3856","13.3370","13.4009","13.2444","0.43"
"11.07.2012","13.3200","13.3695","13.3736","13.2795","-0.49"
"12.07.2012","13.4540","13.3030","13.5220","13.3010","1.01"
"13.07.2012","13.2905","13.4645","13.4712","13.2775","-1.22"
"16.07.2012","13.2141","13.2986","13.3483","13.1999","-0.57"
"17.07.2012","13.1575","13.2151","13.2763","13.1481","-0.43"
"18.07.2012","13.1696","13.1606","13.2205","13.0935","0.09"
"19.07.2012","13.2242","13.1711","13.2502","13.1067","0.41"
"20.07.2012","13.3625","13.2256","13.3705","13.2035","1.05"
"23.07.2012","13.5876","13.3528","13.5906","13.3474","1.68"
"24.07.2012","13.7100","13.5836","13.7786","13.5716","0.90"
"25.07.2012","13.5955","13.7003","13.7302","13.5787","-0.84"
"26.07.2012","13.4146","13.5977","13.6417","13.3832","-1.33"
"27.07.2012","13.2375","13.4176","13.4662","13.2149","-1.32"
"30.07.2012","13.2671","13.2261","13.3008","13.2079","0.22"
"31.07.2012","13.3270","13.2676","13.3349","13.2205","0.45"
"01.08.2012","13.3848","13.3262","13.3973","13.2373","0.43"
"02.08.2012","13.3592","13.3848","13.4822","13.2778","-0.19"
"03.08.2012","13.1362","13.3595","13.3669","13.1045","-1.67"
"06.08.2012","13.1925","13.1520","13.2139","13.0578","0.43"
"07.08.2012","13.2245","13.1960","13.2516","13.1195","0.24"
"08.08.2012","13.1472","13.2241","13.2774","13.1192","-0.58"
"09.08.2012","13.0890","13.1482","13.1806","13.0748","-0.44"
"10.08.2012","13.0831","13.0770","13.1790","13.0725","-0.05"
"13.08.2012","13.1478","13.0850","13.1753","13.0517","0.49"
"14.08.2012","13.1795","13.1464","13.1925","13.0643","0.24"
"15.08.2012","13.1325","13.1804","13.2258","13.1280","-0.36"
"16.08.2012","13.1746","13.1348","13.1869","13.0927","0.32"
"17.08.2012","13.1227","13.1759","13.2489","13.1098","-0.39"
"20.08.2012","13.1052","13.1155","13.1570","13.0780","-0.13"
"21.08.2012","13.1445","13.1102","13.1675","13.0368","0.30"
"22.08.2012","13.0736","13.1421","13.2184","13.0701","-0.54"
"23.08.2012","13.1573","13.0740","13.1845","13.0577","0.64"
"24.08.2012","13.1700","13.1638","13.2540","13.1351","0.10"
